Id,ActivityHour,totalSteps,Calories,TotalIntensity,AverageIntensity
8877689391,2016-03-12 15:00:00,1590,331,72,1.2
4057192912,2016-04-08 14:00:00,3751,330,117,1.95
5577150313,2016-04-05 16:00:00,1473,330,69,1.15
7007744171,2016-03-24 08:00:00,3585,330,102,1.7
8053475328,2016-03-29 14:00:00,3203,330,74,1.233333
2022484408,2016-04-05 10:00:00,1423,329,109,1.816667
6775888955,2016-03-18 13:00:00,1714,329,95,1.583333
7007744171,2016-04-05 07:00:00,4064,328,114,1.9
8877689391,2016-03-29 11:00:00,3014,327,66,1.1
2022484408,2016-03-23 18:00:00,4574,326,132,2.2
8378563200,2016-04-05 12:00:00,2635,326,81,1.35
7007744171,2016-04-07 09:00:00,2918,325,96,1.6
7007744171,2016-04-07 08:00:00,4145,325,123,2.05
7007744171,2016-03-17 22:00:00,0,325,112,1.866667
1644430081,2016-03-12 18:00:00,2804,324,91,1.516667
1644430081,2016-03-28 19:00:00,2958,324,85,1.416667
1927972279,2016-03-27 17:00:00,2769,324,92,1.533333
4020332650,2016-04-04 17:00:00,1995,324,60,1
7007744171,2016-03-18 08:00:00,4400,324,119,1.983333
7086361926,2016-03-25 00:00:00,2854,324,102,1.7
8877689391,2016-03-30 11:00:00,3052,324,63,1.05
6775888955,2016-04-07 09:00:00,2517,323,75,1.25
8053475328,2016-04-07 13:00:00,3213,323,77,1.283333
8053475328,2016-03-20 15:00:00,3496,323,98,1.633333
8053475328,2016-03-16 19:00:00,3409,322,82,1.366667
8053475328,2016-03-17 14:00:00,3183,322,75,1.25
4702921684,2016-03-12 11:00:00,2773,321,88,1.466667
5577150313,2016-03-23 12:00:00,1255,321,79,1.316667
6775888955,2016-03-27 10:00:00,1361,321,85,1.416667
8877689391,2016-04-04 12:00:00,2972,321,75,1.25
1644430081,2016-03-15 19:00:00,2730,320,80,1.333333
5577150313,2016-04-01 11:00:00,1454,320,81,1.35
7007744171,2016-04-05 08:00:00,3259,320,103,1.716667
4445114986,2016-04-06 17:00:00,3605,319,100,1.666667
5577150313,2016-03-28 20:00:00,818,319,64,1.066667
8053475328,2016-03-13 19:00:00,3222,319,84,1.4
8053475328,2016-04-01 19:00:00,2955,318,75,1.25
4702921684,2016-03-13 14:00:00,2653,317,84,1.4
7086361926,2016-04-05 17:00:00,1288,317,102,1.7
1927972279,2016-03-28 13:00:00,2901,316,86,1.433333
6962181067,2016-03-22 20:00:00,6130,316,152,2.533333
5577150313,2016-03-13 17:00:00,1131,314,88,1.466667
7007744171,2016-03-30 08:00:00,4364,314,118,1.966667
8877689391,2016-03-31 12:00:00,3186,314,83,1.383333
8877689391,2016-03-18 12:00:00,3156,314,80,1.333333
5577150313,2016-03-29 11:00:00,1663,313,62,1.033333
6962181067,2016-04-04 19:00:00,6128,313,154,2.566667
7086361926,2016-04-08 13:00:00,4044,313,100,1.666667
1644430081,2016-04-02 14:00:00,2561,312,82,1.366667
4020332650,2016-04-10 10:00:00,1920,312,58,0.966667
5577150313,2016-04-10 20:00:00,2668,312,88,1.466667
8053475328,2016-03-12 17:00:00,3231,312,83,1.383333
6290855005,2016-03-20 09:00:00,2625,311,70,1.166667
6775888955,2016-04-07 14:00:00,1491,311,81,1.35
7086361926,2016-04-07 13:00:00,3867,311,97,1.616667
8053475328,2016-04-01 14:00:00,3435,311,97,1.616667
2022484408,2016-03-22 10:00:00,4090,310,119,1.983333
4020332650,2016-04-08 17:00:00,1918,310,72,1.2
6962181067,2016-03-29 12:00:00,4093,310,124,2.066667
7086361926,2016-03-16 13:00:00,3718,310,94,1.566667
1644430081,2016-03-22 21:00:00,2704,309,79,1.316667
1644430081,2016-04-09 18:00:00,2622,309,73,1.216667
5577150313,2016-03-12 08:00:00,1658,309,87,1.45
8053475328,2016-04-02 13:00:00,3137,309,74,1.233333
2022484408,2016-03-24 09:00:00,1029,308,112,1.866667
